# WSCAD Universe'den indirilecek part numaralari
# Kaynak: ureticilerin KENDI katalog PDF'leri -- hicbiri uydurma not
# 3D (.stp) modeli olmayanlar WSCAD'da inmez; inen bozuk dosyalari audit_batch.py eler

### PHOENIX CONTACT -- 807 count (elimizde OLMAYANLAR; UT/UK vidali agirlikli)
1040800000	WDU 2.5N ZQV 10
1040880000	WDU 2.5N ZQV BL
1730940000	WDU 2.5N/600UL
1020100000	WDU 4 100 10201
1020180000	WDU 4 BL 100 10
1632350000	WDU4 6 mm 25 1
1632360000	WDU4 6 mm 25 1
1905060000	WDU 4/ZZ 50 190
1905150000	WTR4/ZZ 1.5 mm
1905140000	WDU 4/ZR 50 190
1905070000	WTR4/ZR 1.5 mm
1042600000	WDU 4N 100 1042
1042680000	WDU 4N BL 100 1
1020200000	WDU 6 100 10202
1020280000	WDU 6 BL 100 10
1020300000	WDU 10 50 10203
1020380000	WDU 10 BL 50 10
1042400000	WDU 10/ZR 50 10
1042480000	WDU 10/ZR BL 50
1028900000	WDU 16/ZA 50 10
1028980000	WDU 16/ZA BL 50
1036100000	WDU 16N 50 1036
1036180000	WDU 16N BL 50 1
1028800000	WDU 35/ZA 40 10
1028880000	WDU 35/ZA BL 40
1029000000	WDU 35/IK/ZA 25
1040400000	WDU 35N 20 1040
1040480000	WDU 35N BL 20 1
1820840000	WDU 50N 10 1820
1820850000	WDU 50N BL 10 1
1820550000	WDU 95N/120N 5
1820560000	WDU 95N/120N BL
1802780000	WDU 240 2 18027
1822210000	WDU 240 BL 2 18
1024600000	WDU 70/95 10 10
1024680000	WDU 70/95 BL 10
1024500000	WDU 120/150 10
1024580000	WDU 120/150 BL
1041100000	WDK 2.5 ZQV 100
1041180000	WDK 2.5 ZQV BL
1059100000	WDK2.5 1.5 mm
1059180000	WDK2.5 BL 1.5
1021500000	WDK 2.5 100 102
1021580000	WDK 2.5 BL 100
1022300000	WDK 2.5V 100 10
1022380000	WDK 2.5V BL 100
1036400000	WDK 2.5DU-PE 10
1029100000	WDK 2.5/800V 10
1041600000	WDK 2.5N 100 10
1041680000	WDK 2.5N BL 100
1084000000	WDK2.5/4 N 1.5
1084080000	WDK2.5/4 N BL
1041610000	WDK 2.5N V 100
1041650000	WDK 2.5N DU-PE
1041900000	WDK 4N 100 1041
1041980000	WDK 4N BL 100 1
1041910000	WDK 4N V 100 10
1041950000	WDK 4N DU-PE 10
1016500000	WPE 1.5/ZZ 100
1016400000	WPE 2.5/1.5/ZR
1010000000	WPE 2.5 100 101
1016200000	WPE 2.5N 100 10
1036300000	WDK 2.5PE 100 1
1041620000	WDK 2.5N PE 100
1010100000	WPE 4 100 10101
1905130000	WPE 4/ZZ 50 190
1905120000	WPE 4/ZR 50 190
1042700000	WPE 4N 100 1042
1041920000	WDK 4N PE 100 1
1010200000	WPE 6 50 101020
1010300000	WPE 10 50 10103
1042500000	WPE 10/ZR 50 10
1010400000	WPE 16 50 10104
1019100000	WPE 16N 50 1019
1010500000	WPE 35 25 10105
1717740000	WPE 35N 20 1717
1846040000	WPE 50N 10 1846
1846030000	WPE 95N/120N 5
1037300000	WPE 70/95 10 10
1019700000	WPE 120/150 10
1855610000	WTR 2.5 100 185
1855620000	WTR 2.5 STB2.3
1039900000	WTR 2.5/ZZ 100
1039980000	WTR 2.5/ZZ BL 1
1074600000	WTR2.5/ZZ 1.5
1905090000	WTR 4/ZZ 50 190
1905100000	WTR 4/ZZ STB 50
1905080000	WTR 4/ZR 50 190
1905110000	WTR 4/ZR STB 50
1763940000	WTR 2.5/SI 25 1
1763950000	WTR 2.5/SI LD 3
1763960000	WTR 2.5/SI LD 7
1763970000	WTR 2.5/SI LD 1
1763980000	WTR 2.5/SI LD 2
1045970000	WTR 35 E 5 1045
1880430000	WSI 4/2 25 1880
1880410000	WSI 4/2/LD 10-3
1880440000	WSI 4/2/LD 30-7
1880420000	WSI 4/2/LD 60-1
1880390000	WSI 4/2/LD 140-
1880450000	WSI4/2 50 1880
1886580000	WSI 4 50 188658
1886590000	WSI 4/LD 10-36V
1886560000	WSI 4/LD 30-70V
1886570000	WSI 4/LD 60-150
1886550000	WSI 4/LD 140-25
1011000000	WSI 6 50 101100
1011300000	WSI 6/LD 10-36V
1012200000	WSI 6/LD 30-70V
1012300000	WSI 6/LD 60-150
1012400000	WSI 6/LD 250AC
1014000000	WSI 6/2 GZ/DEF6
1014100000	WSI 6/2/LD 10-3
1014200000	WSI 6/2/LD 30-7
1014300000	WSI 6/2/LD 60-1
1014400000	WSI 6/2/LD 250A
1966020000	WSI 25/1 10x38
1966090000	WSI 25/2 10x38
1966080000	WSI 25/3 10x38
1966060000	WSI 25/1 10x38/
1966050000	WSI 25/1  CC 12
1966040000	WSI 25/2  CC 6
1966030000	WSI 25/3  CC 4
1966070000	WSI 25/1  CC/LE
1050010000	WAP 2.5-10 SW 1
1021800000	WDU 2.5 F 2X2.8
1021900000	WDU 2.5 FF 2X2.
1021600000	WDK 2.5 F 100 1
1021680000	WDK 2.5 F BL 10
1021700000	WDK 2.5 FF 100
1022400000	WDK 2.5 FV 100
1577340000	WDU 1.5/BLZ 5.0
1577260000	WDU 1.5 BLA ord
1577320000	WDU1.5/BLZ/ZA
1577330000	WDU1.5/BLZ 2.5
1068260000	WDU1.5/BL 10/1
1068160000	WDU1.5/BL... 1
1577400000	WDU1.5/BL 20 1
1784460000	WDU 1.5/ZQV/BLZ
1034400000	WDK 2.5/BLZ/5.0
1070100000	WDK2.5/BLZ/M.Z
